necta,subdivision_name,fips_state,fips_county,fips_subdivision
Micropolitan NECTA,Belmont town,33,001,04740
Micropolitan NECTA,Gilford town,33,001,28740
Micropolitan NECTA,Laconia city,33,001,40180
Micropolitan NECTA,Canaan town,33,009,08980
Micropolitan NECTA,Enfield town,33,009,24340
Micropolitan NECTA,Grafton town,33,009,30820
Micropolitan NECTA,Hanover town,33,009,33860
Micropolitan NECTA,Lebanon city,33,009,41300
Micropolitan NECTA,Lyme town,33,009,44260
Micropolitan NECTA,Orange town,33,009,58340
Micropolitan NECTA,Orford town,33,009,58500
Micropolitan NECTA,Piermont town,33,009,61060
Micropolitan NECTA,Cornish town,33,019,15060
Micropolitan NECTA,Croydon town,33,019,16340
Micropolitan NECTA,Grantham town,33,019,31220
Micropolitan NECTA,Plainfield town,33,019,62340
Micropolitan NECTA,Springfield town,33,019,72740
Micropolitan NECTA,Bradford town,50,017,07375
Micropolitan NECTA,Fairlee town,50,017,25675
Micropolitan NECTA,Strafford town,50,017,70675
Micropolitan NECTA,Thetford town,50,017,72400
Micropolitan NECTA,West Fairlee town,50,017,79975
Micropolitan NECTA,Hartford town,50,027,32275
Micropolitan NECTA,Hartland town,50,027,32425
Micropolitan NECTA,Norwich town,50,027,52900
Micropolitan NECTA,Pomfret town,50,027,56350
Micropolitan NECTA,Royalton town,50,027,60850
Micropolitan NECTA,Sharon town,50,027,63775
Micropolitan NECTA,West Windsor town,50,027,83050
Micropolitan NECTA,Windsor town,50,027,84925
Micropolitan NECTA,Woodstock town,50,027,85975
Metropolitan NECTA,Ashby town,25,017,01955
Metropolitan NECTA,Ashburnham town,25,027,01885
Metropolitan NECTA,Fitchburg city,25,027,23875
Metropolitan NECTA,Gardner city,25,027,25485
Metropolitan NECTA,Hubbardston town,25,027,31435
Metropolitan NECTA,Leominster city,25,027,35075
Metropolitan NECTA,Lunenburg town,25,027,37420
Metropolitan NECTA,Petersham town,25,027,53120
Metropolitan NECTA,Phillipston town,25,027,53225
Metropolitan NECTA,Templeton town,25,027,69275
Metropolitan NECTA,Westminster town,25,027,77010
Metropolitan NECTA,Winchendon town,25,027,80405
Metropolitan NECTA,Auburn city,23,001,02060
Metropolitan NECTA,Greene town,23,001,29255
Metropolitan NECTA,Leeds town,23,001,38565
Metropolitan NECTA,Lewiston city,23,001,38740
Metropolitan NECTA,Lisbon town,23,001,40035
Metropolitan NECTA,Livermore town,23,001,40665
Metropolitan NECTA,Mechanic Falls town,23,001,44585
Metropolitan NECTA,Minot town,23,001,46160
Metropolitan NECTA,Poland town,23,001,60020
Metropolitan NECTA,Sabattus town,23,001,64570
Metropolitan NECTA,Turner town,23,001,77800
Metropolitan NECTA,Wales town,23,001,79585
Metropolitan NECTA,Litchfield town,23,011,40175
Metropolitan NECTA,Monmouth town,23,011,46405
Metropolitan NECTA,Buckfield town,23,017,08710
Metropolitan NECTA,Canton town,23,017,10005
Metropolitan NECTA,Hartford town,23,017,31670
Metropolitan NECTA,Hebron town,23,017,32370
Metropolitan NECTA,Sumner town,23,017,75035
Metropolitan NECTA,Bedford town,33,011,04500
Metropolitan NECTA,Goffstown town,33,011,29860
Metropolitan NECTA,Manchester city,33,011,45140
Metropolitan NECTA,New Boston town,33,011,50740
Metropolitan NECTA,Weare town,33,011,79780
Metropolitan NECTA,Allenstown town,33,013,00660
Metropolitan NECTA,Dunbarton town,33,013,19460
Metropolitan NECTA,Hooksett town,33,013,37300
Metropolitan NECTA,Pembroke town,33,013,60020
